experiment_id,trial_id,case_id,composition,homogeneous_type,player_id,person_id,age,gender,mbti,initial_role,final_role,speech_count,pass_count,skip_count,total_chars,avg_chars,pre_suspect,pre_confidence,final_suspect,final_confidence,planned_vote,actual_vote,abstained,suspect_changed,confidence_delta,pre_correct,final_correct,vote_correct,plan_vote_match,executed,win,decided_from_unknown,suspect_vote_match,corrected,deteriorated
e-20260830-010837,e-20260830-010837-t006,e-20260830-010837-t006-c00,mixed,,p1,pe032,27,male,ESFP,villager,villager,2,3,0,169,84.5,unknown,1,p6,4,p6,p2,false,,3,,0,1,0,0,0,1,0,,
e-20260830-010837,e-20260830-010837-t006,e-20260830-010837-t006-c00,mixed,,p2,pe086,21,male,ISTP,werewolf,werewolf,4,0,0,439,109.75,unknown,3,p6,4,p6,p6,false,,1,,0,0,1,0,1,1,1,,
e-20260830-010837,e-20260830-010837-t006,e-20260830-010837-t006-c00,mixed,,p3,pe080,53,female,ENTP,seer,seer,2,3,0,240,120.0,unknown,2,p6,4,p6,p6,false,,2,,0,0,1,0,0,1,1,,
e-20260830-010837,e-20260830-010837-t006,e-20260830-010837-t006-c00,mixed,,p4,pe061,60,female,INFP,villager,villager,1,5,0,74,74.0,unknown,1,p6,4,p6,p6,false,,3,,0,0,1,0,0,1,1,,
e-20260830-010837,e-20260830-010837-t006,e-20260830-010837-t006-c00,mixed,,p5,pe018,58,male,ENTP,villager,villager,2,4,0,222,111.0,unknown,1,p6,4,p6,p6,false,,3,,0,0,1,0,0,1,1,,
e-20260830-010837,e-20260830-010837-t006,e-20260830-010837-t006-c00,mixed,,p6,pe067,25,female,ISTJ,thief,thief,3,2,0,332,110.6667,unknown,2,p1,4,p1,p1,false,,2,,0,0,1,1,0,1,1,,
e-20260830-010837,e-20260830-010837-t006,e-20260830-010837-t006-c00,mixed,,p7,pe021,45,female,ESFP,werewolf,werewolf,3,2,0,386,128.6667,unknown,2,p6,4,p6,p8,false,,2,,0,0,0,0,1,1,0,,
e-20260830-010837,e-20260830-010837-t006,e-20260830-010837-t006-c00,mixed,,p8,pe053,42,male,ESTJ,villager,villager,2,3,0,156,78.0,unknown,1,p6,4,p6,p6,false,,3,,0,0,1,0,0,1,1,,
e-20260830-010837,e-20260830-010837-t006,e-20260830-010837-t006-c01,homogeneous,ISTJ,p1,pe032,27,male,ISTJ,villager,villager,1,2,0,51,51.0,unknown,1,p6,3,p6,p6,false,,2,,0,0,1,0,0,1,1,,
e-20260830-010837,e-20260830-010837-t006,e-20260830-010837-t006-c01,homogeneous,ISTJ,p2,pe086,21,male,ISTJ,werewolf,werewolf,2,0,0,151,75.5,unknown,3,,,,p6,false,,,,,0,,0,1,0,,,
