experiment_id,trial_id,case_id,composition,homogeneous_type,player_id,person_id,age,gender,mbti,initial_role,final_role,speech_count,pass_count,skip_count,total_chars,avg_chars,pre_suspect,pre_confidence,final_suspect,final_confidence,planned_vote,actual_vote,abstained,suspect_changed,confidence_delta,pre_correct,final_correct,vote_correct,plan_vote_match,executed,win,decided_from_unknown,suspect_vote_match,corrected,deteriorated
e-20260830-010837,e-20260830-010837-t008,e-20260830-010837-t008-c00,mixed,,p1,pe100,43,male,ENFP,villager,villager,1,5,0,92,92.0,unknown,1,p6,4,p6,p2,false,,3,,0,0,0,0,1,1,0,,
e-20260830-010837,e-20260830-010837-t008,e-20260830-010837-t008-c00,mixed,,p2,pe089,38,female,ISFP,villager,villager,1,5,0,67,67.0,unknown,1,p6,4,p6,p8,false,,3,,0,1,0,0,1,1,0,,
e-20260830-010837,e-20260830-010837-t008,e-20260830-010837-t008-c00,mixed,,p3,pe001,54,female,INFP,villager,villager,3,1,1,282,94.0,unknown,1,p8,4,p8,p8,false,,3,,1,1,1,0,1,1,1,,
e-20260830-010837,e-20260830-010837-t008,e-20260830-010837-t008-c00,mixed,,p4,pe004,35,male,ISTJ,villager,villager,0,6,0,0,,unknown,2,p8,4,p8,p8,false,,2,,1,1,1,0,1,1,1,,
e-20260830-010837,e-20260830-010837-t008,e-20260830-010837-t008-c00,mixed,,p5,pe054,17,male,ESFP,werewolf,werewolf,3,0,2,286,95.3333,p1,3,p6,4,p6,p8,false,1,1,0,0,1,0,0,0,0,0,0,0
e-20260830-010837,e-20260830-010837-t008,e-20260830-010837-t008-c00,mixed,,p6,pe043,51,male,ISFJ,thief,thief,4,1,0,407,101.75,unknown,2,p5,4,p5,p8,false,,2,,1,1,0,0,1,1,0,,
e-20260830-010837,e-20260830-010837-t008,e-20260830-010837-t008-c00,mixed,,p7,pe022,63,female,ESTJ,seer,seer,2,1,2,195,97.5,unknown,2,p6,4,p6,p1,false,,2,,0,0,0,0,1,1,0,,
e-20260830-010837,e-20260830-010837-t008,e-20260830-010837-t008-c00,mixed,,p8,pe088,25,female,ESTJ,werewolf,werewolf,2,2,1,205,102.5,unknown,2,p5,4,p5,p1,false,,2,,1,0,0,1,0,1,0,,
e-20260830-010837,e-20260830-010837-t008,e-20260830-010837-t008-c01,homogeneous,ISTJ,p1,pe100,43,male,ISTJ,villager,villager,2,3,0,150,75.0,unknown,1,p5,4,p5,p3,false,,3,,1,0,0,1,0,1,0,,
e-20260830-010837,e-20260830-010837-t008,e-20260830-010837-t008-c01,homogeneous,ISTJ,p2,pe089,38,female,ISTJ,villager,villager,3,2,0,236,78.6667,unknown,1,p5,4,p5,p1,false,,3,,1,0,0,0,0,1,0,,
e-20260830-010837,e-20260830-010837-t008,e-20260830-010837-t008-c01,homogeneous,ISTJ,p3,pe001,54,female,ISTJ,villager,villager,4,1,0,385,96.25,unknown,1,p8,4,p8,p1,false,,3,,1,0,0,0,0,1,0,,
e-20260830-010837,e-20260830-010837-t008,e-20260830-010837-t008-c01,homogeneous,ISTJ,p4,pe004,35,male,ISTJ,villager,villager,0,6,0,0,,unknown,2,p8,4,p8,p1,false,,2,,1,0,0,0,0,1,0,,
