experiment_id,trial_id,case_id,composition,homogeneous_type,player_id,person_id,age,gender,mbti,initial_role,final_role,speech_count,pass_count,skip_count,total_chars,avg_chars,pre_suspect,pre_confidence,final_suspect,final_confidence,planned_vote,actual_vote,abstained,suspect_changed,confidence_delta,pre_correct,final_correct,vote_correct,plan_vote_match,executed,win,decided_from_unknown,suspect_vote_match,corrected,deteriorated
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,mixed,,p1,pe076,59,female,ISTJ,thief,thief,3,2,0,295,98.3333,unknown,2,p2,4,p2,p2,false,,2,,0,0,1,0,1,1,1,,
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,mixed,,p2,pe003,54,male,ENFP,villager,villager,2,3,0,178,89.0,unknown,1,p5,4,p5,p8,false,,3,,0,1,0,1,1,1,0,,
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,mixed,,p3,pe047,32,male,ESFJ,villager,villager,2,3,0,237,118.5,unknown,1,,,,p2,false,,,,,0,,0,1,0,,,
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,mixed,,p4,pe007,40,male,ISFP,villager,villager,0,6,0,0,,unknown,1,p2,4,p2,p8,false,,3,,0,1,0,0,1,1,0,,
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,mixed,,p5,pe012,36,female,ESTP,seer,seer,2,3,0,139,69.5,unknown,3,p8,4,p8,p8,false,,1,,1,1,1,0,1,1,1,,
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,mixed,,p6,pe084,22,male,ENFP,villager,villager,0,6,0,0,,unknown,1,p8,4,p8,p8,false,,3,,1,1,1,0,1,1,1,,
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,mixed,,p7,pe077,26,female,ENFJ,werewolf,werewolf,2,3,0,163,81.5,unknown,2,p1,4,p1,p2,false,,2,,0,0,0,0,0,1,0,,
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,mixed,,p8,pe006,48,female,ESTP,werewolf,werewolf,4,0,0,306,76.5,unknown,2,p2,4,p2,p2,false,,2,,0,0,1,1,0,1,1,,
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c01,homogeneous,ISTJ,p1,pe076,59,female,ISTJ,thief,thief,2,0,0,110,55.0,unknown,2,,,,p7,false,,,,,1,,1,0,0,,,
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c01,homogeneous,ISTJ,p2,pe003,54,male,ISTJ,villager,villager,0,3,0,0,,unknown,1,p1,3,p1,p1,false,,2,,0,0,1,0,0,1,1,,
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c01,homogeneous,ISTJ,p3,pe047,32,male,ISTJ,villager,villager,0,3,0,0,,unknown,1,p1,3,p1,p1,false,,2,,0,0,1,0,0,1,1,,
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c01,homogeneous,ISTJ,p4,pe007,40,male,ISTJ,villager,villager,0,3,0,0,,unknown,1,p1,3,p1,p1,false,,2,,0,0,1,0,0,1,1,,
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c01,homogeneous,ISTJ,p5,pe012,36,female,ISTJ,seer,seer,0,3,0,0,,unknown,3,,,,p1,false,,,,,0,,0,0,0,,,
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c01,homogeneous,ISTJ,p6,pe084,22,male,ISTJ,villager,villager,0,3,0,0,,unknown,2,p1,3,p1,p1,false,,1,,0,0,1,0,0,1,1,,
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c01,homogeneous,ISTJ,p7,pe077,26,female,ISTJ,werewolf,werewolf,0,3,0,0,,unknown,3,p1,3,p1,p1,false,,0,,0,0,1,0,1,1,1,,
