experiment_id,trial_id,case_id,composition,homogeneous_type,player_id,person_id,age,gender,mbti,initial_role,final_role,speech_count,pass_count,skip_count,total_chars,avg_chars,pre_suspect,pre_confidence,final_suspect,final_confidence,planned_vote,actual_vote,abstained,suspect_changed,confidence_delta,pre_correct,final_correct,vote_correct,plan_vote_match,executed,win,decided_from_unknown,suspect_vote_match,corrected,deteriorated
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c00,mixed,,p1,pe060,39,male,INTJ,seer,seer,2,0,0,174,87.0,p5,3,,,,p3,false,,,1,,0,,0,0,0,,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c00,mixed,,p2,pe020,18,male,ESFJ,villager,villager,2,0,0,135,67.5,unknown,1,,,,p3,false,,,,,0,,0,0,0,,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c00,mixed,,p3,pe009,48,female,ESTP,thief,thief,2,0,0,148,74.0,unknown,2,p1,4,p1,p1,false,,2,,0,0,1,1,0,1,1,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c00,mixed,,p4,pe083,27,female,ENFJ,werewolf,werewolf,2,0,0,156,78.0,unknown,2,,,,p3,false,,,,,0,,0,1,0,,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c00,mixed,,p5,pe056,49,male,ENFJ,werewolf,werewolf,2,0,0,190,95.0,unknown,2,,,,p3,false,,,,,0,,0,1,0,,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c00,mixed,,p6,pe011,52,female,INFJ,villager,villager,0,3,0,0,,unknown,1,p1,4,p1,p3,false,,3,,0,0,0,0,0,1,0,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c00,mixed,,p7,pe046,64,female,ESTP,villager,villager,2,0,0,136,68.0,unknown,2,,,,p3,false,,,,,0,,0,0,0,,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c00,mixed,,p8,pe022,63,female,ESTJ,villager,villager,2,0,0,138,69.0,unknown,1,,,,p3,false,,,,,0,,0,0,0,,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c01,homogeneous,ISTJ,p1,pe060,39,male,ISTJ,seer,seer,3,2,0,274,91.3333,p5,3,p5,4,p5,p2,false,0,1,1,1,0,0,0,0,0,0,0,0
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c01,homogeneous,ISTJ,p2,pe020,18,male,ISTJ,villager,villager,4,0,0,403,100.75,unknown,1,p5,4,p5,p8,false,,3,,1,0,0,0,0,1,0,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c01,homogeneous,ISTJ,p3,pe009,48,female,ISTJ,thief,thief,2,3,0,150,75.0,unknown,2,p5,4,p5,p5,false,,2,,1,1,1,0,0,1,1,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c01,homogeneous,ISTJ,p4,pe083,27,female,ISTJ,werewolf,werewolf,3,2,0,232,77.3333,unknown,2,p5,4,p5,p8,false,,2,,1,0,0,0,1,1,0,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c01,homogeneous,ISTJ,p5,pe056,49,male,ISTJ,werewolf,werewolf,3,2,0,268,89.3333,unknown,2,p4,4,p4,p8,false,,2,,1,0,0,0,1,1,0,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c01,homogeneous,ISTJ,p6,pe011,52,female,ISTJ,villager,villager,2,4,0,181,90.5,unknown,2,p5,4,p5,p8,false,,2,,1,0,0,0,0,1,0,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c01,homogeneous,ISTJ,p7,pe046,64,female,ISTJ,villager,villager,1,5,0,62,62.0,unknown,1,p5,4,p5,p5,false,,3,,1,1,1,0,0,1,1,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c01,homogeneous,ISTJ,p8,pe022,63,female,ISTJ,villager,villager,2,3,0,234,117.0,unknown,1,p5,4,p5,p5,false,,3,,1,1,1,1,0,1,1,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c02,homogeneous,ISFJ,p1,pe060,39,male,ISFJ,seer,seer,3,2,0,259,86.3333,p5,3,p3,4,p3,p3,false,1,1,1,0,0,1,0,0,0,1,0,1
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c02,homogeneous,ISFJ,p2,pe020,18,male,ISFJ,villager,villager,0,6,0,0,,unknown,2,p1,4,p1,p3,false,,2,,0,0,0,0,0,1,0,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c02,homogeneous,ISFJ,p3,pe009,48,female,ISFJ,thief,thief,4,0,0,338,84.5,unknown,2,p1,4,p1,p1,false,,2,,0,0,1,1,0,1,1,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c02,homogeneous,ISFJ,p4,pe083,27,female,ISFJ,werewolf,werewolf,3,2,0,275,91.6667,unknown,2,,,,p3,false,,,,,0,,0,1,0,,,
e-20260830-010837,e-20260830-010837-t003,e-20260830-010837-t003-c02,homogeneous,ISFJ,p5,pe056,49,male,ISFJ,werewolf,werewolf,3,2,0,234,78.0,unknown,2,p1,4,p1,p3,false,,2,,0,0,0,0,1,1,0,,
